hMOF,HVF,VSA_RASPA[m^2/cm^3],LCD（Å）,MOFs密度/[kg/m^3],K,Q
1,0.74966,2138.141024,10.43234,701.6762426,4.15E-05,17.96363322
2,0.74874,2105.92573,10.80515,701.6762634,6.34E-05,20.78084768
3,0.73223,2075.52409,10.71551,744.8194658,6.29E-05,21.25965483
4,0.75624,2118.743533,10.71779,687.2951939,6.16E-05,20.61805122
5,0.71966,2034.862694,10.23685,808.1350594,0.000529247,27.47702109
6,0.75249,2093.927265,10.42155,725.5299646,0.000199467,23.26771626
7,0.70988,2033.466607,9.95778,835.6701397,0.00078369,28.8895868
8,0.74647,2118.162629,10.2617,725.5299526,0.000205509,24.51330872
9,0.73261,2098.004501,9.48743,808.1350488,0.000436837,26.33023787
10,0.14201,0,3.24714,2424.405147,3.27E-142,#NAME?
11,0.74461,2144.419142,10.02692,867.6646761,0.000160404,23.48068194
12,0.28842,41.976425,4.13134,1735.329352,5.72E-13,8.512244872
13,0.14373,0,3.24714,2602.994028,7.63E-133,-702.7509527
14,0.71797,2090.968817,10.0277,930.733422,0.00025473,25.13322251
15,0.26639,244.545144,4.74592,1861.466844,0.91449,74.8894649
16,0.75225,2158.265656,9.68843,804.5959562,0.000119684,22.40871648
17,0.72702,2123.582761,9.4073,930.7333945,0.000251757,25.3653427
18,0.7065,2082.232925,9.73538,993.8021707,0.000197797,24.3258676
19,0.23175,7.101434,3.9061,1987.604341,4.68E-29,-106.2271989
20,0.71762,2113.741044,9.90543,695.3591869,0.000250787,24.27619537
21,0.83234,1877.51806,14.17634,483.6990463,0.000023395,18.63786159
22,0.80591,2054.429243,11.35017,558.9629467,0.000037364,18.8262927
23,0.79013,2076.06714,10.80008,612.6874687,3.34E-05,18.36052637
24,0.79595,2069.633209,10.99463,591.1974564,3.37E-05,17.58250698
25,0.80188,2123.723477,10.367,628.6757786,0.000118713,21.32401234
26,0.79577,2097.308451,10.64881,649.2485607,0.000213274,24.36209783
